year,age,sex,people
12/16/2018,35-44,female,15417.19419
12/16/2018,35-44,male,2271.400821
12/16/2018,45-54,female,30706.56971
12/16/2018,45-54,male,4122.502325
12/16/2018,55-64,female,32283.331
12/16/2018,55-64,male,4571.253577
12/16/2018,65+,female,19027.68509
12/16/2018,65+,male,2224.482379
12/17/2018,18-24,female,210.65
12/17/2018,18-24,male,16.2
12/17/2018,25-34,female,1532.53
12/17/2018,25-34,male,85.114572
12/17/2018,35-44,female,8562.18
12/17/2018,35-44,male,725.902458
12/17/2018,45-54,female,17666.9
12/17/2018,45-54,male,1513.770347
12/17/2018,55-64,female,21467.32
12/17/2018,55-64,male,2283.659135
12/17/2018,65+,female,13090.66
12/17/2018,65+,male,1538.23349
12/18/2018,18-24,female,239.96
12/18/2018,18-24,male,17.41
12/18/2018,25-34,female,1630.47
12/18/2018,25-34,male,111.53
12/18/2018,35-44,female,8788.856574
12/18/2018,35-44,male,1483.14
12/18/2018,45-54,female,17999.91343
12/18/2018,45-54,male,2757.66
12/18/2018,55-64,female,23026.32999
12/18/2018,55-64,male,3916.54
12/18/2018,65+,female,14607.09
12/18/2018,65+,male,1822.23
12/19/2018,18-24,female,206.788816
12/19/2018,18-24,male,19.339962
12/19/2018,25-34,female,1553.954385
12/19/2018,25-34,male,142.268936
12/19/2018,35-44,female,9667.757337
12/19/2018,35-44,male,1599.237328
12/19/2018,45-54,female,19791.77552
12/19/2018,45-54,male,3026.242355
12/19/2018,55-64,female,24757.29767
12/19/2018,55-64,male,4211.416199
12/19/2018,65+,female,12927.09612
12/19/2018,65+,male,1857.945304
12/20/2018,18-24,female,14.174458
12/20/2018,18-24,male,1.129163
12/20/2018,25-34,female,193.702681
12/20/2018,25-34,male,8.164704
12/20/2018,35-44,female,779.78909
12/20/2018,35-44,male,75.017501
12/20/2018,45-54,female,1569.828938
12/20/2018,45-54,male,205.157129
12/20/2018,55-64,female,1440.042391
12/20/2018,55-64,male,317.371438
12/20/2018,65+,female,559.571936
12/20/2018,65+,male,197.453312
